
FUNDAÇÃO GETULIO VARGAS
IBRE
Consulta Ins.Inf x Sugestão
Data :   01/06/2022

Data;Job Ins.Inf (atual);Item Ins.inf (atual);Cod.Ins.Inf (atual);Desc. Ins.Inf (atual);Unid.Medida Ins.Inf (atual);Cod.Ins.Inf (gerado);Dsc.Insumo (sugerido);Unid.Med.Insumo (sugerido);Classificação Ins.Inf (atual);Status MT Ins.Inf (atual);Observação;Justificativa Livre
02/05/2022;DMTMG;268377;1474994;AUTOMÓVEL NOVO UNO ATTRACTIVE 1.0 8V FLEX 20/21 - 5 PORTAS - AR CONDICIONADO - DIREÇÃO HIDRAULICA - AIRBAG - FREIOS ABS - PINTURA BÁSICA - COD.: 195.A4Z.2  FIAT;UNID;1557356;AUTOMÓVEL NOVO ARGO 1.0 6V FLEX 2021/22022  - 5 PORTAS - DIREÇÃO ELETRICA - AIRBAG - FREIOS ABS - PINTURA SOLIDA - COD.: 358.A1N.0  FIAT UNID FIAT;UNID;MT com sugestão;;;
02/05/2022;IPA;202229101;1474994;AUTOMÓVEL NOVO UNO ATTRACTIVE 1.0 8V FLEX 20/21 - 5 PORTAS - AR CONDICIONADO - DIREÇÃO HIDRAULICA - AIRBAG - FREIOS ABS - PINTURA BÁSICA - COD.: 195.A4Z.2  FIAT;UNID;1557356;AUTOMÓVEL NOVO ARGO 1.0 6V FLEX 2021/22022  - 5 PORTAS - DIREÇÃO ELETRICA - AIRBAG - FREIOS ABS - PINTURA SOLIDA - COD.: 358.A1N.0  FIAT UNID FIAT;UNID;MT com sugestão;;;
02/05/2022;SICROMG;303179;1474994;AUTOMÓVEL NOVO UNO ATTRACTIVE 1.0 8V FLEX 20/21 - 5 PORTAS - AR CONDICIONADO - DIREÇÃO HIDRAULICA - AIRBAG - FREIOS ABS - PINTURA BÁSICA - COD.: 195.A4Z.2  FIAT;UNID;1557356;AUTOMÓVEL NOVO ARGO 1.0 6V FLEX 2021/22022  - 5 PORTAS - DIREÇÃO ELETRICA - AIRBAG - FREIOS ABS - PINTURA SOLIDA - COD.: 358.A1N.0  FIAT UNID FIAT;UNID;MT com sugestão;;;
02/05/2022;DMTMG;281163;1474994;AUTOMÓVEL NOVO UNO ATTRACTIVE 1.0 8V FLEX 20/21 - 5 PORTAS - AR CONDICIONADO - DIREÇÃO HIDRAULICA - AIRBAG - FREIOS ABS - PINTURA BÁSICA - COD.: 195.A4Z.2  FIAT;UNID;1557356;AUTOMÓVEL NOVO ARGO 1.0 6V FLEX 2021/22022  - 5 PORTAS - DIREÇÃO ELETRICA - AIRBAG - FREIOS ABS - PINTURA SOLIDA - COD.: 358.A1N.0  FIAT UNID FIAT;UNID;MT com sugestão;;;
02/05/2022;SICROMG;303510;1474994;AUTOMÓVEL NOVO UNO ATTRACTIVE 1.0 8V FLEX 20/21 - 5 PORTAS - AR CONDICIONADO - DIREÇÃO HIDRAULICA - AIRBAG - FREIOS ABS - PINTURA BÁSICA - COD.: 195.A4Z.2  FIAT;UNID;1557356;AUTOMÓVEL NOVO ARGO 1.0 6V FLEX 2021/22022  - 5 PORTAS - DIREÇÃO ELETRICA - AIRBAG - FREIOS ABS - PINTURA SOLIDA - COD.: 358.A1N.0  FIAT UNID FIAT;UNID;MT com sugestão;;;
02/05/2022;DMTMG;299497;1474994;AUTOMÓVEL NOVO UNO ATTRACTIVE 1.0 8V FLEX 20/21 - 5 PORTAS - AR CONDICIONADO - DIREÇÃO HIDRAULICA - AIRBAG - FREIOS ABS - PINTURA BÁSICA - COD.: 195.A4Z.2  FIAT;UNID;1557356;AUTOMÓVEL NOVO ARGO 1.0 6V FLEX 2021/22022  - 5 PORTAS - DIREÇÃO ELETRICA - AIRBAG - FREIOS ABS - PINTURA SOLIDA - COD.: 358.A1N.0  FIAT UNID FIAT;UNID;MT com sugestão;;;
02/05/2022;SICROGO;303180;1193519;COMPRESSOR DE AR REBOCAVEL A DIESEL XATS 167 PD POT: 110CV DESCARGA LIVRE: 340 PCM C/MOTOR DIESEL  ATLAS COPC;UNID;1557358;COMPRESSOR DE AR  REBOCAVEL A DIESEL XAHS 450 UC - 441 PCM POR 10 C/MOTOR DIESEL  ATLAS COPC UNID ATLAS COPC;UNID;NC com sugestão;;;
02/05/2022;O-GRUPOS;211;1193519;COMPRESSOR DE AR REBOCAVEL A DIESEL XATS 167 PD POT: 110CV DESCARGA LIVRE: 340 PCM C/MOTOR DIESEL  ATLAS COPC;UNID;1557358;COMPRESSOR DE AR  REBOCAVEL A DIESEL XAHS 450 UC - 441 PCM POR 10 C/MOTOR DIESEL  ATLAS COPC UNID ATLAS COPC;UNID;NC com sugestão;;;
02/05/2022;DMTGO;268378;1193519;COMPRESSOR DE AR REBOCAVEL A DIESEL XATS 167 PD POT: 110CV DESCARGA LIVRE: 340 PCM C/MOTOR DIESEL  ATLAS COPC;UNID;1557358;COMPRESSOR DE AR  REBOCAVEL A DIESEL XAHS 450 UC - 441 PCM POR 10 C/MOTOR DIESEL  ATLAS COPC UNID ATLAS COPC;UNID;NC com sugestão;;;
02/05/2022;DMTGO-2;268378;1193519;COMPRESSOR DE AR REBOCAVEL A DIESEL XATS 167 PD POT: 110CV DESCARGA LIVRE: 340 PCM C/MOTOR DIESEL  ATLAS COPC;UNID;1557358;COMPRESSOR DE AR  REBOCAVEL A DIESEL XAHS 450 UC - 441 PCM POR 10 C/MOTOR DIESEL  ATLAS COPC UNID ATLAS COPC;UNID;NC com sugestão;;;
02/05/2022;SICROBA;298482;1506274;CHAPA EM AÇO GALVANIZADO MSG 11, ESPESSURA DE 3,00 E PESO DE 24,0 KG/M².  GERDAU;KG;1557359;CHAPA EM AÇO GALVANIZADO MSG 12  ESPESSURA DE 2,70 E PESO DE 24,0 KG/M².  GERDAU KG GERDAU;KG;MT com sugestão;Alteração de Característica / Especificação;;Conforme contato com Sra. Larissa , a empresa deixou de comercializar a chapa 11 e agora comercializa a partir de 12 mm.
02/05/2022;TCERJ_GA;284444;1534151;BATATA INGLESA FRESCA OU REFRIGERADA COMUM ESPECIAL   SCO 25;KG;1557360;BATATA INGLESA FRESCA OU REFRIGERADA PRIMEIRA  SCO 25 KG  SCO 25;KG;MT com sugestão;;DESCRIÇÃO;DESCRIÇÃO
02/05/2022;INFRAES_RJ;299006;1534151;BATATA INGLESA FRESCA OU REFRIGERADA COMUM ESPECIAL   SCO 25;KG;1557360;BATATA INGLESA FRESCA OU REFRIGERADA PRIMEIRA  SCO 25 KG  SCO 25;KG;MT com sugestão;;DESCRIÇÃO;DESCRIÇÃO
02/05/2022;ALIATA;9946;1534151;BATATA INGLESA FRESCA OU REFRIGERADA COMUM ESPECIAL   SCO 25;KG;1557360;BATATA INGLESA FRESCA OU REFRIGERADA PRIMEIRA  SCO 25 KG  SCO 25;KG;MT com sugestão;;DESCRIÇÃO;DESCRIÇÃO
